source_title,source_author,source_year,ref_title,ref_author,ref_year
The Catcher in the Rye,J.D. Salinger,1951,The Great Gatsby,F. Scott Fitzgerald,1925
The Catcher in the Rye,J.D. Salinger,1951,Oliver Twist,Charles Dickens,1938
The Catcher in the Rye,J.D. Salinger,1951,Hamlet,William Shakespeare,1623
The Catcher in the Rye,J.D. Salinger,1951,Romeo and Juliet,William Shakespeare,1597
Every Summer After,Carley Fortune,2022,Rosemary’s Baby,Ira Levin,1967
Every Summer After,Carley Fortune,2022,Misery,Stephen King,1987
Every Summer After,Carley Fortune,2022,The Handmaid's Tale,Margaret Atwood,1985
Every Summer After,Carley Fortune,2022,Great Expectations,Charles Dickens,1861
